Demonstrationen / Versammlungen / Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
27,2023-05-01 00:00:00,10:00 - 18:00,Versammlung mit Aufzug,Tag der Arbeit - 01. Mai Kundgebung des DGB,2023-01-03 00:00:00,Liebfrauenplatz,800
28,2023-01-12 00:00:00,17:00 - 19:00,Versammlung mit Aufzug,Solidaität mit Kurdistan,2023-01-04 00:00:00,Strecke,40
29,2023-04-08 00:00:00,9:00 - 16:00,Versammlung mit Aufzug,Ostermarsch,2021-08-25 00:00:00,Strecke,400
30,2023-01-12 00:00:00,18:00 -  19:30,Versammlung,Für eine offene Flüchtlingspolitik,2023-01-06 00:00:00,Athener Allee Gehweg gegenüber Hausnr. 6,30
31,2023-01-16 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,59. MAINZER SCHILDERLAUF,2022-12-22 00:00:00,Strecke,100
32,2023-01-11 00:00:00,17:00 - 18:00,Versammlung,Für den Erhalt von Lützerarth,2023-01-07 00:00:00,Gutenbergplatz,100
33,2023-01-18 00:00:00,11:00 - 20:00,Versammlung,Mahnwache : Gewährleistung von Wirksamkeit und Sicherheit pharmazeutischer Produkte,2023-01-09 00:00:00,Ecke /An der Goldgrube,7
34,2023-01-09 00:00:00,,Versammlung,Kleber-Klimaktivisten,,Alice-Brücke /Ausfahrt Wallstraße,
35,2023-01-07 00:00:00,10:00 - 18:00,Versammlung,Klimaschutz,2023-01-03 00:00:00,Gutenbergplatz,10
36,2023-01-25 00:00:00,12:30-14:30,Versammlung,Gleiche Rechte für Alle,2023-01-10 00:00:00,Helmut Kohl Platz,10
37,2023-01-27 00:00:00,16:30-17:30,Versammlung,Omas gegen Rechts,2023-01-10 00:00:00,Kaiserstraße 31 (Ecke Leibnizstraße),1900-01-10 00:00:00
38,2023-01-28 00:00:00,14:00-17:00,Versammlung,Frieden ohne Gewalt,2023-01-12 00:00:00,Bahnhofsvorplatz,15-20
39,2023-02-04 00:00:00,14:00-17:00,Versammlung,Zeit für Frieden (Frieden ohne Gewalt),2023-01-12 00:00:00,Bahnhofsvorplatz,40-50
40,2023-02-11 00:00:00,14:00-17:00,Versammlung,"Frieden, Freude, Eierkuchen (Frieden ohne Gewalt)",2023-01-12 00:00:00,Bahnhofsvorplatz,15-20
41,2023-01-23 00:00:00,18:30-20:30,Versammlung mit Aufzug,60. MAINZER SCHILDERLAUF,2022-12-22 00:00:00,Strecke,100
42,2023-01-18 00:00:00,18:00-19:30,Versammlung,Genug ist Genug - Die Preise müssen runter,2023-01-15 00:00:00,Gutenbergplatz,25
43,2023-01-28 00:00:00,13:00-15:00,Aufzug,Waldschutz,2023-01-19 00:00:00,Strecke,7
44,2023-01-22 00:00:00,17:00-18:00,Versammlung,2 Jahre Atomwaffenverbotsvertrag,2023-01-20 00:00:00,Liebfrauenplatz,5
45,2023-01-30 00:00:00,18:30-20:30,Versammlung mit Aufzug,61. MAINZER SCHILDERLAUF,2023-01-20 00:00:00,Strecke,100
46,2023-02-24 00:00:00,18:00-20:00,Versammlung,Stand with Ukraine/Jahrestag des Angriffs,2023-01-23 00:00:00,Gutenbergplatz,500
47,2023-01-27 00:00:00,14:00-16:00,Versammlung,Lützerath bleibt,2023-01-22 00:00:00,Frauenlobstraße 59-61,50
48,2023-01-28 00:00:00,15:00-17:00,Aufzug,Unterstützung der Ukraine,2023-01-24 00:00:00,Strecke,200
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
