Anzahl Vers.,Datum ,SB,Thema,Versammlungen Ort,Uhrzeit,erwartete Teilnehmerzahl,Vermerk,interner Vermerk,Anzahl Aufzüge,Datum,SB.1,Thema.1,Anzahl Teilnehmer,Vermerk.1
251.0,2022-10-22 00:00:00,fo,Frau.Leben.Freiheit,Landwehrplatz,14:00 Uhr - 16:00 Uhr,150-200,,erl.,,,,,,
252.0,2022-10-22 00:00:00,fo,Botschaft der Bibel,vor Thalia,12:00 Uhr - 17:00 Uhr,10,,erl. ,96,abgesagt22.10.2022,fo,Einsatz Chemischer Waffen - Kurdinnen Ermordet,200,
,,,,,,,,,97,erl. 23.10.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
253.0,2022-10-27 00:00:00,fo,Mahnwache im Rahmen der Aktion Leuchtturm ARD,SJM Brunnen,16:00 Uhr - 18:00 Uhr,8 bis 20,,erl.,,,,,,
254.0,2022-10-29 00:00:00,fo,In wessen Haut steckst du?,Bahnhofstraße vor Leder Spahn,14:30 Uhr  - 17:30 Uhr,15,,erl.,,,,,,
255.0,2022-10-29 00:00:00,fo,Botschaft der Bibel,vor Thalia,11:00 Uhr - 16:00 Uhr,10,,erl.,,,,,,
,,,,,,,,,98,erl. 29.10.2022,fo,Warnstreik Tarifrunde,1000,
,,,,,,,,,99,erl. 30.10.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
256.0,2022-10-31 00:00:00,fo,"Das Evangelium contra Halloween, was sagt die Bibel, Gottes Wort, dazu",ECE 1,17:00 Uhr - 21:30 Uhr,5 bis 10,,erl.,,,,,,
,2022-11-01 00:00:00,,,Versammlungsverbot ab 4:00 Uhr nach § 8 Sonn- und Feiertagsgestetz ,,,,,,2022-11-01 00:00:00,,,,
,2022-11-02 00:00:00,,,Versammlungsverbot bis 18:00 nach § 8 Sonn- und Feiertagsgesetz ,,,,,,2022-11-02 00:00:00,,,,
257.0,2022-11-03 00:00:00,fo,ARD Leuchtturm,SJM ,16:00 Uhr - 18:00 Uh,7 bis 15,,erl.,,,,,,
258.0,2022-11-04 00:00:00,fo,Aktionstag Mitbestimmung,vor ECE,15:00 Uhr - 17:00 Uhr,20,,erl.,,,,,,
259.0,2022-11-04 00:00:00,fo,"Warnstreik im Rahmen einer Haustarifrunde 2022 bei Saar Metallwerke, Am Römerkastell 6, 66121 Saarbrücken",Am Römerkastell Straßenfläche Nebenstraße,11:30 Uhr - 12:30 Uhr,40,,erl.,,,,,,
260.0,2022-11-04 00:00:00,PI,Eilversammlung- Lutzerath,SJM ,15:00 Uhr - 17:00 Uhr,5,,erl. PI,,,,,,
261.0,2022-11-05 00:00:00,fo,"Tierrechte, Veganismus",Bahnhofstraße 77,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
262.0,2022-11-05 00:00:00,fo,Preiserhöhungen und Inflation und deren Auswirkungen auf private und gewerbliche Haushalte,vor ECE,11:00 Uhr - 13:00 Uhr,150,,erl.,,,,,,
263.0,2022-11-05 00:00:00,fo,Was bedeutet Weihnachten im Licht der Bibel,ECE 1,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
264.0,2022-11-05 00:00:00,fo,Falun Gong,vor Thalia,12:00 Uhr - 16:00 Uhr,10,,erl.,,,,,,
265.0,2022-11-05 00:00:00,PI,,vor ECE,,,,erl. PI,,,,,,
,,,,,,,,,100,erl. 06.11.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
,,,,,,,,,101,erl. 07.11.2022,fo,Montagsdemo,20,
266.0,2022-11-09 00:00:00,fo,Gedenken an den Tag des Mauerfalls,Landtagsgelände,17:30 Uhr - 18:45 Uhr,30 bis 40,,erl.,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
267.0,2022-11-10 00:00:00,fo,ARD Leuchtturm,vor ECE,14:00 Uhr - 15:00 Uhr,,,erl.,102,erl. 10.11.2022,fo,IG Metall ,5000,
268.0,2022-11-11 00:00:00,fo,Lederprodukte sind tote Tierbabys,ECE 1,11:00 Uhr -12:00 Uhr,3 bis 10,,erl.,,,,,,
269.0,2022-11-11 00:00:00,fo,IG Metall Mahnwache FA. Brück,FA Brück GmBH Ensheim,12:00 Uhr,,,erl.,,,,,,
270.0,2022-11-12 00:00:00,fo,Umweltgewerkschaft-Weltklimakonferenz 2022,ECE Höhe Karl-Marx-Straße,11:00 Uhr - 14:00 Uhr,40,,erl.,,,,,,
271.0,2022-11-12 00:00:00,fo,"Reden, Vernetzen, Protestieren-Energiepreiserhöhung",ECE Höhe Karl-Marx-Straße,15:00 Uhr - 17:00 Uhr,100,,erl.,,,,,,
272.0,2022-11-12 00:00:00,fo,Botschaft der Bibel,ECE 1,11:00 Uhr - 16:00 Uhr,10,,erl.,,,,,,
,2022-11-13 00:00:00,,,Versammlungsverbot ab 4:00 Uhr nach § 8 Sonn- und Feiertagsgestetz ,,,,,,2022-11-13 00:00:00,,,,
,,,,,,,,,103,abgesagt13.11.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
,2022-11-16 00:00:00,,,Versammlungsverbot von 4:00 Uhr bis 18:00 Uhr nach § 8 Sonn- und Feiertagsgesetz ,,,,,,2022-11-16 00:00:00,,,,
273.0,2022-11-17 00:00:00,fo,ARD Leuchttrum,vor ECE,16:00 Uhr -18:00 Uhr,5 bis 15,,erl.,,,,,,
274.0,2022-11-18 00:00:00,fo,Stoppt das Töten in der Ukraine! Aufrüstung ist nicht die Lösung! Bundesweiter Aktionstag für Frieden und ein gutes Leben für Alle,GRP,15:30 Uhr - 17:30 Uhr,15,,erl.,,,,,,
275.0,2022-11-19 00:00:00,fo,Frau. Leben. Freiheit,ECE 1,14:00 Uhr - 16:00 Uhr,100-150 ,,erl.,,,,,,
276.0,2022-11-19 00:00:00,fo,"Mahnwache- Tierrechte, Veganismus",ECE Höhe Karl-Marx,15:00 Uhr - 19:00 Uhr,20,,erl.,,,,,,
277.0,2022-11-19 00:00:00,fo,Was bedeutet Weihnachten im Lichte der Bibel,ECE 3,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
278.0,2022-11-19 00:00:00,fo,Verbot der Schliefanlangen und Bau  und Treibjagd,ECE Höhe Karl-Marx,10:00 Uhr- 14:00 Uhr,40,,erl.,,,,,,
279.0,2022-11-19 00:00:00,PI,Sühne- und Bittgebet,Am Staden/Heinestraße,11:00 Uhr - 11:30 Uhr,12,Eilversammlung,erl. PI - Eilversammlung,,,,,,
,2022-11-20 00:00:00,,,Versammlungsverbot ab 4:00 Uhr nach § 8 Sonn- und Feiertagsgestetz ,,,,,,2022-11-20 00:00:00,,,,
280.0,2022-11-20 00:00:00,PI,Spontanversammlung aufgrund erneuter Luftangriffe auf die nordsyrische Stadt Kobane,vor Hbf,01:25 Uhr - 02:05 Uhr,20,Spontanversammlung,erl PI,104,abgesagt20.11.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
281.0,2022-11-24 00:00:00,fo,ARD Leuchtturm,GRP,16:00 Uhr - 18:00 Uhr,5 bis 10,,erl.,,,,,,
282.0,2022-11-25 00:00:00,fo,24-Stunden Warnstreiks ganztägig IG-Metall,ZF,,,,abgesagt,,,,,,
283.0,2022-11-25 00:00:00,fo,"Solidarität mit den Protesten im Iran, unter dem Motto: Stoppt Hinrichtungen! Stippt Vergewaltigungen und Kindermord!",Landwehrplatz,16:00 Uhr - 18:00 Uhr,200,,erl.,,,,,,
284.0,2022-11-25 00:00:00,fo,Tag gegen Gewalt an Frauen,ECE höhe Kalr-Marx-Straße,17:00 Uhr - 18:00 Uhr,50,abgesagt,erl. ,,,,,,
285.0,2022-11-26 00:00:00,fo,Tierleid für Wolle,ECE 1,14:30 Uhr - 17:30 Uhr,10,,erl.,,,,,,
286.0,2022-11-26 00:00:00,fo,"Aktionstag: Keinen Euro für Krieg und Zerstörung! Statt dessen Millarden für eine soziale, gerechte und ökologische Friedenspolitik! Stoppt den Krieg! Verhandeln statt Schießen",ECE Höhe Karl-Marx-Str.,11:30 Uhr - 14:00 Uhr,50,,erl.,105,erl. 26.11.2022,fo,Stoppt den Angriffskrieg des türkischen Staates auf Rojava und Südkurdistan,150-200,
,,,,,,,,,,,,,,
,,,,,,,,,,27.11.2022 Verkaufsoffener Sonntag,,,,
,,,,,,,,,106,erl. 27.11.2022,fo,Frieden - Keine Waffenlieferungen ,200,
287.0,2022-11-30 00:00:00,fo,Tierleid für Wolle,ECE 1,15:30 Uhr - 18:00 Uhr,10,,erl.,,,,,,
288.0,2022-11-30 00:00:00,fo,Orange Days - Scherpunkt: Präsentation um häusliche Gewalt zu verhindern,Rathausplatz,17:00 Uhr - 18:00 Uhr,20 bis 25,,erl.,,,,,,
289.0,2022-11-30 00:00:00,fo,Solidarität mit iranischen studierenden,Uni-Gelände,12:30 Uhr - 14:00 Uhr,100-150,,erl.,,,,,,
290.0,2022-11-30 00:00:00,fo,Schluss mit den Angriffen auf Rojava,ECE Höhe-Karl-Marx-Str.,16:00 Uhr - 18:00 Uhr,40,,erl.,,,,,,
291.0,2022-12-01 00:00:00,fo,Mahnwache- Bildergalerie mit offiziellen Presseberichten,GRP,10:00 Uhr - 17:00 Uhr,4+,,erl.,,,,,,
292.0,2022-12-03 00:00:00,fo,"Mahnwache- Tierrechte, Veganismus",ECE,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
293.0,2022-12-03 00:00:00,fo,Farbige Poller,bei Karstadt,11:00 Uhr - 13:00 Uhr,5 bis 10,,erl.,107,erl. 03.12.2022,fo,Das Bündnis: Nicht mit uns - wir frieren nicht für Euchr Profite - Nicht mehr bezahlbare Energiekosten und hohe Inflation,500-600,
,,,,,,,,,108,erl. 03.12.2022,fo,Genug ist Genug! Wir frieren nicht für eure Profite - Zubringer Demo z ur Verdi Großdemo,80,
,,,,,,,,,109,erl. 04.12.2022,fo,"Frieden - Keine Waffenlieferungen - Ende der Preisexplosionen, für ein bezahlbares Leben",300,
,,,,,,,,,110,erl. 05.12.2022,fo,Montagsdemo,20,
294.0,2022-12-10 00:00:00,Ko,Zum Tag der Menschenrechte: Isolationshaft ist Folter-Schluss mit der Tatoalisolation Öcalans Freiheit für Öcalan,ECE Höhe Karl-Marx-Straße,14:00- 15:00 Uhr,20-30,,erl.,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
295.0,2022-12-17 00:00:00,fo,"Mahnwache- Tierrechte, Veganismus",ECE Höhe Karl-Marx-Straße,14:00 Uhr - 18:0 Uhr,20,,erl.,,,, ,,
296.0,2022-12-17 00:00:00,Ko,Was bedeutet Weihnachten im Lichte der Bibel,ECE Höhe Karl-Marx-Straße,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
297.0,2022-12-17 00:00:00,Ko,Sühne- und Bittgebet für die Ungeborenen ,Am Staden/ Heinestraße,11:00 Uhr - 11:30 Uhr 23,14 bis 24,,erl.,,,,,,
298.0,2022-12-17 00:00:00,fo,"Preiskrise: Strom-, Hein- und Lebensmittelpreise - Missstände in Burbach",Burbach Hochstraße vor Sparkass,9:45 Uhr - 11:30 Uhr,fünf,,erl.,,,,,,
299.0,2022-12-18 00:00:00,fo,CHP -Verhaftung OB Istanbul und Beendigung der politischen Karriere,vor ECE,15:00 Uhr - 17:30 Uh,100 bis 150,Eilversammlung,PI ,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,111,erl. 18.12.2022,fo,"Frieden - Keine Waffenlieferungen - Ende der Preisexplosionen, für ein bezahlbares Leben",300,
300.0,2022-12-23 00:00:00,PI,Eilversammlung KGZ,ECE Höhe Karl-Marx-Straße,17:00 Uhr -  18:00 Uhr ,,,PI,112,erl. 23.12.2022,fo,Kneipensterben,20,
,2022-12-24 00:00:00,,,Versammlungsverbot ab 14:00 Uhr nach § 8 Sonn- und Feiertagsgesetz,,,,,,2022-12-24 00:00:00,,,,
,,,,, ,,,,,,,,,
301.0,2022-12-27 00:00:00,PI,Eilversammlung KGZ - Pariser Morde,ECE Höhe Karl-Marx-Straße,17:30 Uhr - 18:00 Uhr,150,,PI,,,,,,
302.0,2022-12-28 00:00:00,Ko,Tiere sind uns nicht Wurst,ECE 3,15:00 Uhr - 16:45 Uhr 5,,,erl.,,,,,,
